add,value
安徽省蚌埠市五河县新集镇回龙路,5583.330078
安徽省蚌埠市禹会区朝阳街道怡康新都1栋,7672.830078
安徽省蚌埠市禹会区钓鱼台街道冠宜大厦,6627.419922
安徽省蚌埠市禹会区钓鱼台街道锦绣香堤B区13栋,7955
安徽省蚌埠市禹会区钓鱼台街道喜迎门小区三期,6412.169922
安徽省蚌埠市禹会区钓鱼台街道喜盈门二期,6412.169922
安徽省蚌埠市禹会区马城镇胡圩村,5682.5
安徽省蚌埠市禹会区纬四街道淮畔人家,6206.669922
安徽省蚌埠市禹会区纬四街道金伟熙城官邸,6740.919922
安徽省蚌埠市禹会区纬四街道胜利公寓2栋,6932.830078
安徽省蚌埠市禹会区纬四街道天地人花园,6762.830078
安徽省蚌埠市禹会区纬四街道新船塘小区3栋,6581.580078
安徽省蚌埠市禹会区张公山街道张公山4村419栋,6035.169922
安徽省蚌埠市禹会区张公山街道张公山北门制钉厂,6357.25
安徽省蚌埠市禹会区张公山街道张公山二村对面郊区机关宿舍楼,5589.169922
安徽省蚌埠市禹会区张公山街道张公山六村613栋,6078.25
安徽省蚌埠市禹会区张公山街道张公山七村,6476.75
安徽省蚌埠市禹会区张公山派出所旁,5389.830078
安徽省蚌埠市禹会区长青乡涂山风景区上洪村,5969.080078
安徽省亳州市高新区翡翠庄园,6589.470215
安徽省亳州市高新区豪泽丽景小区,6832.859863
安徽省亳州市高新区建投世纪城,6910.180176
安徽省亳州市利辛县城关镇春店社区春店3队,7459.350098
安徽省亳州市利辛县城关镇春店社区胜利村,6584.060059
安徽省亳州市利辛县城关镇房产局家属院,7423.819824
安徽省亳州市利辛县城关镇港口新村老供销社家属院,7273.290039
安徽省亳州市利辛县城关镇黄桥社区,7417.660156
安徽省亳州市利辛县城关镇建设路南段金宝贝幼儿园附近,6959.709961
安徽省亳州市利辛县城关镇金龙国际新城,6313.600098
安徽省亳州市利辛县城关镇前进路英伦华帝小区,6966.950195
安徽省亳州市利辛县城关镇前进社区立新巷,7401.660156
安徽省亳州市利辛县城关镇顺河村姚庄,6679.930176
安徽省亳州市利辛县城关镇文物所家属院,7908.779785
安徽省亳州市利辛县城关镇五一路,7823.490234
安徽省亳州市利辛县城关镇闫郢村董老寨,5730.720215
安徽省亳州市利辛县纪王场乡纪竹园庄,6319.919922
安徽省亳州市利辛县老二中对面黄寨社区,5024.729981
安徽省亳州市利辛县潘楼镇张大庄村张大庄,6898.430176
安徽省亳州市利辛县王市镇刘沈村刘寨,7087.009766
安徽省亳州市利辛县西潘楼镇东潘楼村,6868.580078
安徽省亳州市蒙城县城关街道金天地商业街,5584.350098
安徽省亳州市蒙城县许疃镇赵集村东孙庄,5467.410156
安徽省亳州市蒙城县庄周街道玖隆国际C区,7157.25
安徽省亳州市谯城区薛阁办事处白依路包园新村,6054.799805
安徽省亳州市谯城区薛阁街道上善名郡上园,6568.700195
安徽省亳州市谯城区颜集镇曹寺行政村东张庄,5273.600098
安徽省亳州市谯城区亿丰御景小区,7106.350098
安徽省亳州市谯城区御花园小区,7510.569824
安徽省亳州市涡阳县城关街道巨人印象小区,6768.220215
安徽省亳州市涡阳县城关街道紫光大道与育英路交口向南,6124.459961
安徽省亳州市涡阳县城关镇街道北环中路,4442.620117
安徽省亳州市涡阳县城关镇街道医苑新村,6518.450195
安徽省亳州市涡阳县城关镇乐行家园,6030
安徽省亳州市涡阳县花沟镇狄马村,5468.27002
安徽省亳州市涡阳县花沟镇孙小桥行政村李楼,5463.640137
安徽省亳州市涡阳县马店集镇李庄行政村李庄,3896.590088
安徽省亳州市涡阳县新汽车站对面路北小区幸福港湾,6310.189941
安徽省亳州市涡阳县新兴镇付庄行政村,3877.469971
安徽省亳州市涡阳县新兴镇付庄行政村付庄,3504.100098
安徽省亳州市涡阳县新兴镇左楼村,4194.609863
安徽省亳州市涡阳县新兴镇左楼行政村大围子自然村,4194.609863
安徽省亳州市涡阳县星园街道桂语城栖,4745.379883
安徽省阜阳市阜南县柴集镇,8437.610352
安徽省阜阳市阜南县柴集镇柴集村,8609.519531
安徽省阜阳市阜南县柴集镇后湖村,9564.599609
安徽省阜阳市阜南县经开区中央豪景小区,6865.419922
安徽省阜阳市阜南县鹿城镇,5411.75
安徽省阜阳市阜南县王店乡,8347.839844
安徽省阜阳市阜南县王店孜高寨村,8347.839844
安徽省阜阳市阜南县王店孜乡,8347.839844
安徽省阜阳市阜南县王店孜乡高庄村,8458
安徽省阜阳市阜南县王店孜乡刘郢村,8414.320313
安徽省阜阳市阜南县王店孜乡王寨村,8349.719727
安徽省阜阳市阜南县王店孜乡五岳村,8347.839844
安徽省阜阳市阜南县王店孜乡周集村,6675.279785
安徽省阜阳市阜南县新村镇,8347.839844
安徽省阜阳市阜南县新村镇白营村,5253.089844
安徽省阜阳市阜南县新村镇梁寨村,8785.179688
安徽省阜阳市阜南县新村镇鑫东村,8347.839844
安徽省阜阳市阜南县新村镇杨湾村,8414.320313
安徽省阜阳市阜南县新村镇张楼村,8347.839844
安徽省阜阳市阜南县赵集镇,6711.609863
安徽省阜阳市阜南县赵集镇刘大郢,6369.410156
安徽省阜阳市阜南县赵集镇刘集村,6652.859863
安徽省阜阳市阜南县朱寨镇,6426.779785
安徽省阜阳市阜南县朱寨镇闵庄村,6433.680176
安徽省阜阳市阜阳经济技术开发区依心明园,7538.709961
安徽省阜阳市经济技术开发区十八里铺社区汽配城,7514.859863
安徽省阜阳市临泉县白庙镇油坊村,5121.990234
安徽省阜阳市临泉县城东街道港口路天祥小区西,6201.390137
安徽省阜阳市临泉县城东街道姜子牙广场北,5297.089844
安徽省阜阳市临泉县城东街道老百货公司家属院,5680.649902
安徽省阜阳市临泉县城东街道文王社区,6595.859863
安徽省阜阳市临泉县城东街道张寨行政村,4791.549805
安徽省阜阳市临泉县城关街道银泉社区,6377.27002
安徽省阜阳市临泉县城关镇,6594.850098
安徽省阜阳市临泉县城南街道名邦国际花都小区,4932.049805
安徽省阜阳市临泉县城南街道新城居委会,6972.089844
安徽省阜阳市临泉县城南街道新城社区,6850.77002
安徽省阜阳市临泉县城南街道紫薇苑小区,6972.089844
安徽省阜阳市临泉县城南新区,7353.080078
安徽省阜阳市临泉县高塘镇,6878.479981
安徽省阜阳市临泉县高塘镇牛刘行政村,7396.609863
安徽省阜阳市临泉县滑集镇,6647.479981
安徽省阜阳市临泉县滑集镇滑集村,6647.479981
安徽省阜阳市临泉县滑集镇朱集行政村,6097.279785
安徽省阜阳市临泉县宋集镇,7275.830078
安徽省阜阳市临泉县宋集镇杨蒲行政村,7275.830078
安徽省阜阳市临泉县宋集镇杨小街蒲庄大队,7275.830078
安徽省阜阳市临泉县土陂乡陈胡行政村,6675.279785
安徽省阜阳市临泉县土陂乡运河行政村,6801.410156
安徽省阜阳市临泉县土坡乡,6801.410156
安徽省阜阳市临泉县长官镇大田行政村,7500.379883
安徽省阜阳市太和县城关镇锦都花园,6053.569824
安徽省阜阳市太和县城关镇太和世家,5207.919922
安徽省阜阳市太和县税镇镇税南居委会,7192.870117
安徽省阜阳市太和县税镇镇孙楼行政村,7179.740234
安徽省阜阳市颍东区东平社区和谐佳苑小区,8183.319824
安徽省阜阳市颍东区河东街道京九新村,8226.540039
安徽省阜阳市颍东区向阳街道办事处,8863.370117
安徽省阜阳市颍东区新华街道办事处新华街道,6511.709961
安徽省阜阳市颍东区袁寨镇,6136.859863
安徽省阜阳市颍东区袁寨镇袁寨居委会,6372.379883
安徽省阜阳市颍东区正午镇,6189.819824
安徽省阜阳市颍东区正午镇横山村,6318.120117
安徽省阜阳市颍东区正午镇田楼村,6424.140137
安徽省阜阳市颍东区正午镇张庙村,6055.560059
安徽省阜阳市颍泉区北京中路,9235.30957
安徽省阜阳市颍泉区行流镇,5960.5
安徽省阜阳市颍泉区行流镇杨桥村,5141.410156
安徽省阜阳市颍泉区泉颍办事处祥和居小区,7403.279785
安徽省阜阳市颍泉区中市街道办事处,7767.410156
安徽省阜阳市颍泉区中市街道办事处海亮上府小区,9187.040039
安徽省阜阳市颍泉区中市街道办事处四中家属院,5388.109863
安徽省阜阳市颍泉区中市街道办事处中泰名城小区,9851.94043
安徽省阜阳市颍泉区周棚办事处,6915.5
安徽省阜阳市颍泉区周棚街道办事处,6915.5
安徽省阜阳市颍泉区周棚街道办事处周棚居委会,6915.5
安徽省阜阳市颍上县古城镇余联村李圩队,7276.040039
安徽省阜阳市颍上县建颍乡,7063.27002
安徽省阜阳市颍上县建颍乡吴东村,7082.450195
安徽省阜阳市颍上县江口镇王李村,7008.850098
安徽省阜阳市颍上县慎城镇,6726.540039
安徽省阜阳市颍上县慎城镇滨河大道一库安置区,6214.870117
安徽省阜阳市颍上县新集镇,7095.089844
安徽省阜阳市颍上县新集镇六联苏庄队,7095.089844
安徽省阜阳市颍州区鼓楼街道办事处白衣桥社区临泉路老师范学院院内,9269.580078
安徽省阜阳市颍州区鼓楼街道办事处双龙桥社区汇鑫小区,8598.629883
安徽省阜阳市颍州区马寨乡,8358.69043
安徽省阜阳市颍州区马寨乡马寨居委会,8358.69043
安徽省阜阳市颍州区清河街道办事处,10286.2998
安徽省阜阳市颍州区清河街道办事处九里社区锦华第一郡小区,10689.5
安徽省阜阳市颍州区清河街道办事处九里社区九鼎华苑小区,10176.40039
安徽省阜阳市颍州区三合镇,9897.650391
安徽省阜阳市颍州区三合镇新宅村,10308.5
安徽省阜阳市颍州区三十里铺镇佐庄村,6145.740234
安徽省阜阳市颍州区三塔集镇张寨村,9162.419922
安徽省阜阳市颍州区文峰办事处,8809
安徽省阜阳市颍州区文峰街道办事处奎星社区博物馆巷,8809
安徽省阜阳市颍州区文峰街道办事处三里岗社区碧桂园,8796.299805
安徽省阜阳市颍州区文峰街道办事处万达社区万达华府,10660.59961
安徽省阜阳市颍州区颍西街道办事处,10644.90039
安徽省阜阳市颍州区颍西街道办事处城郊社区徽州家园小区,11430.09961
安徽省阜阳市颍州区颍西街道办事处单桥社区,9599.990234
安徽省阜阳市颍州区颍西街道办事处西湖社区西城御景小区,11113.59961
安徽省阜阳市颍州区颍西镇,9932.519531
安徽省阜阳市中市街道办事处城关镇,5269.609863
安徽省合肥市包河区宝利丰广场,14874.5
安徽省合肥市包河区滨湖明珠西区,23462.90039
安徽省合肥市包河区风和园,16170.5
安徽省合肥市包河区豪门金地小区,18621.80078
安徽省合肥市包河区金湾嘉园,15170.40039
安徽省合肥市包河区前进巷9号兴丰苑小区,15126.7002
安徽省合肥市包河区琼林苑小区,19777.40039
安徽省合肥市包河区曙宏南苑,14640.09961
安徽省合肥市包河区万振逍遥苑,13830.7998
安徽省合肥市肥东县陈大郢社区紫玉华府,9992.780273
安徽省合肥市肥东县店埠镇定光社区传桥组,9318.709961
安徽省合肥市肥东县店埠镇定光社区新农村小区,9391.160156
安徽省合肥市肥东县店埠镇光大居委会光大新村,11471.2998
安徽省合肥市肥东县店埠镇和平社区汇景新城,11146
安徽省合肥市肥东县店埠镇凯旋公馆,11570
安徽省合肥市肥东县店埠镇青春社区育红小学宿舍楼,9357.209961
安徽省合肥市肥东县店埠镇新城社区新城家园,11330.7002
安徽省合肥市肥东县店埠镇沿河东路原卫生局宿舍康居苑小区,9480.339844
安徽省合肥市肥东县店埠镇沿河东路原卫生局宿舍康居苑小区,15967.40039
安徽省合肥市肥东县店埠镇镇南社区,9661.160156
安徽省合肥市肥东县石塘镇供销社宿舍,19627.5
安徽省合肥市肥东县星光嘉苑,9898.120117
安徽省合肥市肥西县上派镇韩圩村,10806.7998
安徽省合肥市肥西县上派镇华邦万派城,10779.2002
安徽省合肥市肥西县上派镇名邦中央公馆,11753.59961
安徽省合肥市肥西县桃花镇东冠繁华逸城,13237.7998
安徽省合肥市肥西县桃花镇信地华地城,12481.59961
安徽省合肥市高新区岭湖墅,14704.5
安徽省合肥市庐阳区柏景湾青云轩,17248.40039
安徽省合肥市庐阳区肥西北路四泉花园南区,14307.09961
安徽省合肥市庐阳区公园西村,22252.09961
安徽省合肥市庐阳区古城新村,14287.5
安徽省合肥市庐阳区海亮红玺台小区,16892.19922
安徽省合肥市庐阳区海棠别院,16618.59961
安徽省合肥市庐阳区探矿厂宿舍,13852.90039
安徽省合肥市庐阳区土产日杂公司宿舍,24783.40039
安徽省合肥市庐阳区杏林花园南区,13512.2998
安徽省合肥市蜀山区安徽电力公司黄山路生活区,14923.09961
安徽省合肥市蜀山区当代花园,22923.59961
安徽省合肥市蜀山区和谐家园（长丰南路）,13707.7002
安徽省合肥市蜀山区龙居山庄天龙居,16521.40039
安徽省合肥市蜀山区内森庄园,23000.69922
安徽省合肥市蜀山区潜山北路家家景园3期,18409.59961
安徽省合肥市蜀山区天和园,20301.5
安徽省合肥市蜀山区通和易居北苑,19637.19922
安徽省合肥市蜀山区颐和阳光100小区,19264.30078
安徽省合肥市蜀山区颐园世家,18844
安徽省合肥市蜀山区岳西新村B区,19865.69922
安徽省合肥市蜀山区中铁青秀城,16150
安徽省合肥市蜀山区中央美域A区,15286
安徽省合肥市新站区昊天园小区,12242.2002
安徽省合肥市新站区合郢花园,11961.2998
安徽省合肥市新站区家天下3期,11103.2998
安徽省合肥市新站区金辉悦府小区,11937.59961
安徽省合肥市新站区京商商贸城,11845.59961
安徽省合肥市新站区新海尚宸家园,13131.2998
安徽省合肥市新站区瑶海佳苑（兴华苑三期）,11107.40039
安徽省合肥市新站区园上园公寓楼,12192.90039
安徽省合肥市新站区张洼新村,12181.59961
安徽省合肥市瑶海区大兴镇合浦新村（恢复楼）,12047.90039
安徽省合肥市瑶海区芳邻家园,13428.2998
安徽省合肥市瑶海区凤翔家园,12245.7002
安徽省合肥市瑶海区国安家园,12146.09961
安徽省合肥市瑶海区海洲景秀世家2期,11305.59961
安徽省合肥市瑶海区恒大中央广场,16485.19922
安徽省合肥市瑶海区恒丰嘉园,14470.2002
安徽省合肥市瑶海区红星家园,11575.2002
安徽省合肥市瑶海区华都城市花园,11014.09961
安徽省合肥市瑶海区临泉花苑小区,12279.09961
安徽省合肥市瑶海区罗马花园西区,13228.90039
安徽省合肥市瑶海区马岗社区龙岗管委会宿舍楼,11103.59961
安徽省合肥市瑶海区斯瑞新景苑,11125.2002
安徽省合肥市瑶海区铜陵路工业锅炉厂宿舍,14851.09961
安徽省合肥市瑶海区温莎国际广场,14874.5
安徽省合肥市瑶海区香江世纪名城,11692.09961
安徽省合肥市瑶海区新创益民家园,11753.7002
安徽省合肥市瑶海区怡馨苑,13206
安徽省合肥市瑶海区元一名城,12168.2998
安徽省合肥市瑶海区长江东路五里井17栋,11208.90039
安徽省合肥市长丰县阿奎利亚城品,11842.40039
安徽省合肥市长丰县北城明珠小区,11185.5
安徽省合肥市长丰县北城世纪城一期颐徽苑,10414
安徽省合肥市长丰县岗集镇玉成明珠苑,9579.530273
安徽省合肥市长丰县下塘镇顾圩村,9533.769531
安徽省六安市霍邱县城关镇玉泉社区惠民小区,5679.919922
安徽省六安市霍邱县龙潭镇,5530.580078
安徽省六安市霍邱县龙潭镇龙王庙村南楼组,5095.169922
安徽省六安市霍邱县宋店乡留城寺村老庄组,5573.330078
安徽省六安市霍山县儿街镇儿街社区,5869
安徽省六安市霍山县儿街镇山王河村,5669.330078
安徽省六安市霍山县佛子岭镇,5834.830078
安徽省六安市霍山县佛子岭镇通水灌村,5791.419922
安徽省六安市霍山县黑石渡镇新店河村,5834.830078
安徽省六安市霍山县衡山镇和顺花园D区,5791.419922
安徽省六安市霍山县衡山镇荷香社区,5791.419922
安徽省六安市霍山县衡山镇衡山社区,5791.419922
安徽省六安市霍山县衡山镇南潭社区,5791.419922
安徽省六安市霍山县衡山镇南岳村,5834.830078
安徽省六安市霍山县衡山镇文峰社区,5791.419922
安徽省六安市霍山县衡山镇西大街社区,5791.419922
安徽省六安市霍山县经济开发区,5791.419922
安徽省六安市霍山县与儿街镇,5869
安徽省六安市霍山县与儿街镇儿街社区,5869
安徽省六安市霍山县与儿街镇山王河村,5669.330078
安徽省六安市金安区椿树镇,5070.669922
安徽省六安市金安区椿树镇龙穴村张大郢组,5070.669922
安徽省六安市金安区清水河街道刘园社区海心沙小区,7934.669922
安徽省六安市金安区孙岗镇五十铺村士坤组,6082.75
安徽省六安市金安区中市街道前进社区浙东商贸城D区,7436.75
安徽省六安市金寨县梅山镇明逸城小区,5367.5
安徽省六安市金寨县梅山镇香港花园小区,5367.5
安徽省六安市裕安区帝都豪园13栋,7255.419922
安徽省六安市裕安区独山镇茶叶市场,5835.830078
安徽省六安市裕安区华邦新华城,7828.419922
安徽省六安市裕安区凯旋名门3号楼,7666.5
安徽省六安市裕安区青山乡八字岗村汪冲组,6130.919922
安徽省六安市裕安区狮子岗黄大路村,6178.669922
安徽省六安市裕安区苏埠镇祝张路黄莲村岗桥组,6100.75
安徽省六安市裕安区西河口镇马林村,5169.330078
安徽省六安市裕安区西市街道帝都豪园小区,7444.669922
福建省泉州市安溪县安溪清水岩,7903.5
福建省泉州市安溪县城厢镇仙苑村,7813.75
福建省泉州市安溪县湖上乡雪山村中洋街,6826
福建省泉州市丰泽区东海街道海景国际星域,15220.09961
福建省泉州市丰泽区好医联医疗耳鼻喉科,14341.40039
福建省泉州市惠安县山霞镇东坑村青山街,6374.919922
福建省泉州市惠安县山霞镇田边村,6003.330078
福建省泉州市惠安县涂寨镇庄内村,5768.419922
福建省泉州市晋江市陈埭镇花厅口村,5702.419922
福建省泉州市晋江市磁灶镇张林村,6322.419922
福建省泉州市晋江市东石镇山兜村,6684.75
福建省泉州市晋江市金井镇万佳东方酒店,6578.330078
福建省泉州市晋江市金井镇万佳国际酒店,6578.330078
福建省泉州市晋江市梅岭街道泉安中路速8酒店,8528
福建省泉州市晋江市梅岭街道竹树下社区速8酒店,8528
福建省泉州市晋江市新塘街道沙塘社区,8444.169922
福建省泉州市晋江市新塘街道杏坂社区,7058.25
福建省泉州市晋江市英林镇嘉排村,6487.419922
福建省泉州市晋江市英林镇晋南商贸中心,6300.830078
福建省泉州市晋江市英林镇西埔村,6528.330078
福建省泉州市晋江市英林镇英林村,6528.330078
福建省泉州市晋江市英林镇英林村晋南小区,6300.830078
福建省泉州市鲤城区浮桥街道珑景湾小区,8658.080078
福建省泉州市洛江区马甲镇潘内村顶道坝,8538.169922
福建省泉州市南安市官桥镇恒美村,8577.5
福建省泉州市南安市官桥镇金庄街永生堂诊所,8577.5
福建省泉州市南安市官桥镇内厝村,7957.919922
福建省泉州市南安市官桥镇下洋村后林埔,7715.75
福建省泉州市南安市官桥镇周厝村,8577.5
福建省泉州市南安市仑苍镇湖西新村,8173.580078
福建省泉州市南安市仑苍镇联盟村,11799.59961
福建省泉州市南安市仑苍镇园美村,8173.580078
福建省泉州市南安市码头镇大庭村,6238.669922
福建省泉州市南安市美林街道西美村,7608.330078
福建省泉州市南安市美林街道溪口村,10798.7998
福建省泉州市南安市南安市行政服务中心,7142.580078
福建省泉州市南安市水头菜市场桥西街,7640.25
福建省泉州市南安市水头镇劳光村,7517.330078
福建省泉州市南安市水头镇仁福村,7517.330078
福建省泉州市南安市西美村美林街道,7608.330078
福建省泉州市南安市溪口村美林街道,10798.7998
福建省泉州市南安市溪口村卫生室,11267.2002
福建省泉州市南安市英都镇良山村,8419.75
福建省泉州市南安市中国工商银行南安柳城分行,7743
福建省泉州市石狮市宝盖镇后垵村,7890.25
福建省泉州市石狮市蚶江镇山前东区,9902.169922
福建省泉州市永春县东关镇外碧村,7375.580078
福建省泉州市永春县东平镇太平村,7106.830078
福建省泉州市永春县湖洋镇龙山村,7933.080078
福建省泉州市永春县金龙城董记咯摊,7129.169922
福建省泉州市永春县桃城镇太坪新村,6929.419922
福建省泉州市永春县外山乡碧卿林场,7473.919922
福建省泉州市永春县永春新华都超市,6895.830078
福建省泉州市永春县玉斗镇新珩村,6176.75
福建省泉州市永春县玉斗镇玉斗村,6462.5
广东省广州市白云区保利西海岸江海花园,34628.89844
广东省广州市白云区鹤龙街道黄边安怀里,16524.80078
广东省广州市白云区鹤龙街道乐得花园,17336.80078
广东省广州市白云区鹤龙街联边彭西一街,19328.19922
